fiNum;fiDiasPermanencia;fnTasaRecuperacion;fnTasaLiquidacion;fnAforoUtilizado;fnInteresOrdinario;fnColocacionAnual;fnYield;
1334433;106;1.0000;1.0000;0.8600;267.00;;0.3191;
1278195;146;0.8300;0.6700;0.9400;166.00;;0.0110;
510684;198;0.8600;0.5000;0.9200;975.00;;0.1373;
114472;1109;1.0000;1.0000;0.8700;1011.00;10720.00;0.2206;
2408234;94;0.5000;0.0000;0.8600;704.00;;;
711028;36;0.0000;0.0000;0.9200;;;;
311925;83;0.5000;0.0000;0.9200;120.00;;;
1414178;3;;;0.9400;;;;
1004743;592;0.9400;0.5000;0.9800;415.00;1280.00;0.3828;
1390818;169;0.8300;0.0000;0.9000;508.00;;;
1160307;227;0.3300;0.0000;0.9100;54.00;;;
943421;2543;1.0000;1.0000;0.9100;65309.00;72620.00;0.4310;
2580510;70;1.0000;1.0000;1.3500;263.00;;0.1173;
137494;1;;;0.9300;;;;
605681;2;;;0.9300;;;;
58201;321;1.0000;1.0000;0.9200;2486.00;;0.9276;
1051049;1;;;0.9100;;1650.00;;
3029717;498;1.0000;1.0000;0.9000;842.00;;0.7392;
549403;37;0.0000;0.0000;0.9100;;;;
578401;4;;;0.9300;;;;
1877300;304;0.6700;0.0000;0.9200;148.00;;;
2162831;101;0.0000;0.0000;0.9000;;;;
2842302;36;0.0000;0.0000;0.9100;;;;
2770964;1034;1.0000;1.0000;0.9700;793.00;9120.00;0.0870;
2439657;2;;;0.9100;12.00;;;
2669433;1;;;0.9500;;;;
1473576;1;;;0.9300;;;;
415671;147;0.7500;0.5000;0.9200;138.00;;0.2123;
475703;38;0.0000;0.0000;0.9100;;800.00;;
2380538;127;0.0000;0.0000;0.9000;;;;
1470129;1;;;0.9300;;;;
118329;524;1.0000;1.0000;0.8700;929.00;;0.7431;
2030697;83;1.0000;1.0000;0.9100;192.00;;0.2773;
710498;74;0.0000;0.0000;0.9200;75.00;;;
263186;77;0.5000;0.0000;0.9200;72.00;;;
2476179;37;0.0000;0.0000;0.9000;152.00;;;
1778153;112;1.0000;;0.9100;699.00;1270.00;0.5654;
1228521;12;1.0000;1.0000;0.9200;62.00;;0.0646;
304341;24;1.0000;1.0000;0.8800;112.00;610.00;0.0683;
236669;57;0.0000;0.0000;0.9200;;;;
1064985;402;0.9300;0.5000;0.9200;5969.00;;1.1818;
1712034;225;1.0000;1.0000;0.9100;1724.00;;0.5279;
711451;57;0.0000;0.0000;0.9200;;;;
304180;1;;;0.9300;;;;
1334486;114;0.6700;0.5000;0.8900;251.00;;0.0709;
561892;1609;0.9600;0.5700;0.9100;1964.00;;2.5061;
2893728;169;0.8000;0.0000;0.9100;416.00;;;
1783692;57;0.0000;0.0000;0.9200;;;;
2784145;411;1.0000;1.0000;0.9600;524.00;;1.2449;
1688976;4;;;0.9300;;;;
1231580;740;0.9600;0.8300;0.9600;5505.00;;0.9035;
399297;1;;;0.9200;;;;
2728089;1541;0.9600;0.7300;1.1800;5164.00;5013.00;1.7438;
2580221;352;1.0000;1.0000;1.1000;971.00;;0.6011;
2331967;1351;1.0000;;0.8600;1898.00;;0.7117;
480366;1;;;0.9100;;880.00;;
1798167;6;1.0000;1.0000;0.9200;119.00;;0.0213;
2145736;2382;1.0000;1.0000;0.9200;7470.00;;0.6610;
3012259;254;0.0000;0.0000;0.9000;;5710.00;;
3036916;559;0.9400;0.0000;0.9500;876.00;;;
2851837;1;;;0.9300;;;;
175734;57;0.0000;0.0000;0.9000;;;;
2349316;319;0.9000;0.0000;0.9200;647.00;;;
945854;1;;;0.9300;;;;
2417113;166;1.0000;1.0000;0.9200;840.00;;0.6235;
2140406;349;0.8300;0.2500;1.0200;2560.00;;1.6056;
1068857;1414;1.0000;1.0000;1.0000;4235.00;33780.00;0.4261;
1686252;41;1.0000;;0.8600;229.00;4040.00;0.0567;
1887904;1;;;0.9300;;;;
2764198;185;0.7100;0.4300;0.8800;2168.00;;0.1880;
1470116;1139;0.9700;0.9400;1.2100;55056.00;;1.7103;
1094361;37;0.0000;0.0000;0.9000;;;;
1112150;121;0.0000;0.0000;0.9100;;;;
1213838;124;0.5000;0.5000;0.9500;49.00;;0.0243;
826103;1;;;0.9400;;;;
1659243;1987;0.9800;0.6700;0.9200;1802.00;;0.9776;
97027;1373;0.9800;0.9300;0.8000;2378.00;;0.9877;
317190;147;1.0000;1.0000;0.8700;4981.00;;0.4467;
1649311;39;1.0000;1.0000;0.9200;449.00;;0.1217;
2233892;36;0.0000;0.0000;0.9200;;;;
65974;1;;;0.9200;;650.00;;
1366000;114;0.0000;0.0000;0.9200;;;;
501213;293;0.9000;0.7100;1.1000;2869.00;;0.4390;
2868142;4;;;0.9300;;;;
3049366;2762;0.9900;0.6000;0.9100;4158.00;;0.4210;
